Vardas      Pavarde     ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      Egz.      
Vardas1     Pavarde1    4         2         1         4         4         3         9         8         9         10        3         
Vardas2     Pavarde2    3         4         2         9         4         10        7         10        0         4         10        
Vardas3     Pavarde3    1         5         10        9         5         8         3         6         1         4         10        
Vardas4     Pavarde4    2         6         8         9         1         3         10        7         6         5         6         
Vardas5     Pavarde5    4         7         10        8         4         10        6         2         0         8         8         
Vardas6     Pavarde6    4         1         3         2         5         4         9         10        4         10        8         
Vardas7     Pavarde7    3         5         8         1         3         6         6         10        10        7         3         
Vardas8     Pavarde8    5         2         1         10        10        3         7         8         7         4         1         
Vardas9     Pavarde9    8         7         9         6         2         0         1         10        7         7         10        
Vardas10    Pavarde10   7         7         5         7         0         8         3         4         2         7         8         
Vardas11    Pavarde11   1         0         2         0         0         1         8         6         5         8         10        
Vardas12    Pavarde12   0         7         0         1         8         5         9         8         8         2         10        
Vardas13    Pavarde13   5         0         0         7         3         7         8         0         7         9         6         
Vardas14    Pavarde14   0         0         2         4         8         3         8         6         7         3         0         
Vardas15    Pavarde15   1         9         3         10        2         5         5         1         0         1         6         
Vardas16    Pavarde16   10        4         5         7         8         1         7         9         8         4         8         
Vardas17    Pavarde17   9         10        7         1         6         4         6         6         1         0         1         
Vardas18    Pavarde18   5         3         3         8         4         3         9         7         4         1         7         
Vardas19    Pavarde19   9         4         6         4         10        6         1         2         10        4         4         
Vardas20    Pavarde20   5         10        0         7         10        3         9         9         0         5         8         
Vardas21    Pavarde21   1         8         7         6         5         2         6         3         1         5         10        
Vardas22    Pavarde22   3         4         5         8         10        2         7         8         0         0         6         
Vardas23    Pavarde23   8         7         8         5         5         8         6         6         5         0         2         
Vardas24    Pavarde24   5         7         3         5         4         1         8         8         10        1         10        
Vardas25    Pavarde25   1         2         3         0         8         7         4         8         7         5         9         
Vardas26    Pavarde26   9         9         9         0         3         10        7         5         7         5         7         
Vardas27    Pavarde27   0         3         4         9         5         10        1         4         4         7         8         
Vardas28    Pavarde28   6         8         4         6         9         7         4         6         2         4         1         
Vardas29    Pavarde29   10        6         0         4         10        1         2         4         4         6         7         
Vardas30    Pavarde30   6         7         10        3         5         1         7         6         9         2         2         
Vardas31    Pavarde31   4         2         2         2         10        6         5         2         2         9         2         
Vardas32    Pavarde32   2         2         8         0         1         6         8         0         4         4         4         
Vardas33    Pavarde33   4         5         4         3         9         5         3         7         7         10        4         
Vardas34    Pavarde34   10        3         5         2         8         5         7         10        8         5         6         
Vardas35    Pavarde35   9         0         1         6         3         0         3         7         6         3         10        
Vardas36    Pavarde36   10        8         6         4         7         8         1         10        6         7         1         
Vardas37    Pavarde37   5         8         4         4         3         3         1         6         10        8         0         
Vardas38    Pavarde38   7         7         1         0         1         5         9         5         8         2         1         
Vardas39    Pavarde39   4         10        4         0         9         1         10        5         10        9         2         
Vardas40    Pavarde40   10        10        7         1         4         5         9         2         4         7         0         
Vardas41    Pavarde41   7         8         1         5         6         7         8         7         7         9         1         
Vardas42    Pavarde42   3         0         7         2         4         5         6         6         7         0         3         
Vardas43    Pavarde43   0         6         6         9         2         9         5         10        4         1         4         
Vardas44    Pavarde44   10        2         5         5         10        2         1         10        2         2         1         
Vardas45    Pavarde45   1         9         5         3         6         0         6         1         6         3         8         
Vardas46    Pavarde46   1         8         2         5         8         3         3         2         10        5         4         
Vardas47    Pavarde47   5         0         3         2         0         9         6         0         9         8         4         
Vardas48    Pavarde48   6         5         5         8         2         9         6         2         0         7         9         
Vardas49    Pavarde49   1         5         8         10        8         9         2         3         7         5         9         
Vardas50    Pavarde50   6         9         5         5         6         4         8         8         5         8         2         
Vardas51    Pavarde51   3         1         1         7         9         2         4         10        2         4         8         
Vardas52    Pavarde52   3         9         8         7         8         1         10        3         1         9         7         
Vardas53    Pavarde53   2         9         0         9         4         2         8         5         1         2         3         
Vardas54    Pavarde54   1         1         7         8         9         6         8         5         3         3         1         
Vardas55    Pavarde55   6         5         7         8         4         3         8         0         0         1         2         
Vardas56    Pavarde56   3         2         9         6         2         9         4         10        1         9         7         
Vardas57    Pavarde57   9         0         8         9         10        0         4         8         5         8         1         
Vardas58    Pavarde58   4         4         1         1         7         8         0         2         4         7         1         
Vardas59    Pavarde59   4         8         10        6         3         2         1         3         10        5         6         
Vardas60    Pavarde60   1         1         4         10        5         3         9         8         6         9         1         
Vardas61    Pavarde61   8         7         0         5         5         2         4         1         4         5         3         
Vardas62    Pavarde62   7         2         4         4         4         4         6         1         10        2         2         
Vardas63    Pavarde63   8         5         9         9         5         6         1         7         2         8         3         
Vardas64    Pavarde64   0         8         5         5         6         9         1         3         8         6         6         
Vardas65    Pavarde65   6         9         1         5         3         8         2         8         2         8         3         
Vardas66    Pavarde66   1         1         3         2         7         9         9         2         5         9         0         
Vardas67    Pavarde67   8         7         0         4         1         9         10        6         5         1         5         
Vardas68    Pavarde68   10        1         8         6         7         10        1         5         0         10        10        
Vardas69    Pavarde69   7         6         10        8         10        0         7         3         9         6         0         
Vardas70    Pavarde70   8         6         8         9         0         2         3         4         9         3         2         
Vardas71    Pavarde71   7         4         8         2         4         3         2         8         10        7         1         
Vardas72    Pavarde72   1         1         4         6         4         10        1         9         7         10        4         
Vardas73    Pavarde73   2         4         9         6         8         8         8         0         2         8         0         
Vardas74    Pavarde74   1         3         5         2         1         2         4         9         7         3         8         
Vardas75    Pavarde75   10        8         5         2         4         2         5         6         4         10        4         
Vardas76    Pavarde76   2         4         9         2         6         4         0         4         4         9         2         
Vardas77    Pavarde77   10        7         6         5         7         1         5         4         5         0         3         
Vardas78    Pavarde78   2         9         5         8         5         4         2         2         7         3         4         
Vardas79    Pavarde79   8         8         3         7         1         0         4         4         9         9         1         
Vardas80    Pavarde80   0         5         0         4         3         6         7         9         2         7         9         
Vardas81    Pavarde81   7         10        10        1         8         1         5         6         1         0         6         
Vardas82    Pavarde82   0         5         10        2         9         0         7         0         10        3         8         
Vardas83    Pavarde83   8         3         7         1         5         8         4         9         4         1         9         
Vardas84    Pavarde84   8         10        2         3         5         7         7         9         1         6         3         
